Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Jan 2020,SSD,11703111,Unity,Guit,first projection,2020-02-01,2020-04-30,3,29846,0.45
Jan 2020,SSD,11703111,Unity,Guit,first projection,2020-02-01,2020-04-30,4,9949,0.15
Jan 2020,SSD,11703111,Unity,Guit,first projection,2020-02-01,2020-04-30,5,0,0
Jan 2020,SSD,11703111,Unity,Guit,second projection,2020-05-01,2020-07-31,all,66324,1.0
Jan 2020,SSD,11703111,Unity,Guit,second projection,2020-05-01,2020-07-31,3+,46427,0.7
Jan 2020,SSD,11703111,Unity,Guit,second projection,2020-05-01,2020-07-31,1,3316,0.05
Jan 2020,SSD,11703111,Unity,Guit,second projection,2020-05-01,2020-07-31,2,16581,0.25
Jan 2020,SSD,11703111,Unity,Guit,second projection,2020-05-01,2020-07-31,3,33162,0.5
Jan 2020,SSD,11703111,Unity,Guit,second projection,2020-05-01,2020-07-31,4,13265,0.2
Jan 2020,SSD,11703111,Unity,Guit,second projection,2020-05-01,2020-07-31,5,0,0
Jan 2020,SSD,11703111,Unity,Rubkona,current,2020-01-01,2020-01-31,all,319746,1.0
Jan 2020,SSD,11703111,Unity,Rubkona,current,2020-01-01,2020-01-31,3+,111911,0.35
Jan 2020,SSD,11703111,Unity,Rubkona,current,2020-01-01,2020-01-31,1,95924,0.3
Jan 2020,SSD,11703111,Unity,Rubkona,current,2020-01-01,2020-01-31,2,111911,0.35
Jan 2020,SSD,11703111,Unity,Rubkona,current,2020-01-01,2020-01-31,3,111911,0.35
Jan 2020,SSD,11703111,Unity,Rubkona,current,2020-01-01,2020-01-31,4,0,0
Jan 2020,SSD,11703111,Unity,Rubkona,current,2020-01-01,2020-01-31,5,0,0
Jan 2020,SSD,11703111,Unity,Rubkona,first projection,2020-02-01,2020-04-30,all,319746,1.0
Jan 2020,SSD,11703111,Unity,Rubkona,first projection,2020-02-01,2020-04-30,3+,127898,0.4
Jan 2020,SSD,11703111,Unity,Rubkona,first projection,2020-02-01,2020-04-30,1,95924,0.3
Jan 2020,SSD,11703111,Unity,Rubkona,first projection,2020-02-01,2020-04-30,2,95924,0.3
Jan 2020,SSD,11703111,Unity,Rubkona,first projection,2020-02-01,2020-04-30,3,127898,0.4
Jan 2020,SSD,11703111,Unity,Rubkona,first projection,2020-02-01,2020-04-30,4,0,0
Jan 2020,SSD,11703111,Unity,Rubkona,first projection,2020-02-01,2020-04-30,5,0,0
Jan 2020,SSD,11703111,Unity,Rubkona,second projection,2020-05-01,2020-07-31,all,319746,1.0
Jan 2020,SSD,11703111,Unity,Rubkona,second projection,2020-05-01,2020-07-31,3+,175860,0.55
Jan 2020,SSD,11703111,Unity,Rubkona,second projection,2020-05-01,2020-07-31,1,63949,0.2
Jan 2020,SSD,11703111,Unity,Rubkona,second projection,2020-05-01,2020-07-31,2,79937,0.25
Jan 2020,SSD,11703111,Unity,Rubkona,second projection,2020-05-01,2020-07-31,3,175860,0.55
Jan 2020,SSD,11703111,Unity,Rubkona,second projection,2020-05-01,2020-07-31,4,0,0
Jan 2020,SSD,11703111,Unity,Rubkona,second projection,2020-05-01,2020-07-31,5,0,0
Jan 2020,SSD,11703111,Unity,Leer,current,2020-01-01,2020-01-31,all,59120,1.0
Jan 2020,SSD,11703111,Unity,Leer,current,2020-01-01,2020-01-31,3+,29560,0.5
Jan 2020,SSD,11703111,Unity,Leer,current,2020-01-01,2020-01-31,1,2956,0.05
Jan 2020,SSD,11703111,Unity,Leer,current,2020-01-01,2020-01-31,2,26604,0.45
Jan 2020,SSD,11703111,Unity,Leer,current,2020-01-01,2020-01-31,3,26604,0.45
Jan 2020,SSD,11703111,Unity,Leer,current,2020-01-01,2020-01-31,4,2956,0.05
Jan 2020,SSD,11703111,Unity,Leer,current,2020-01-01,2020-01-31,5,0,0
Jan 2020,SSD,11703111,Unity,Leer,first projection,2020-02-01,2020-04-30,all,59120,1.0
Jan 2020,SSD,11703111,Unity,Leer,first projection,2020-02-01,2020-04-30,3+,32516,0.55
Jan 2020,SSD,11703111,Unity,Leer,first projection,2020-02-01,2020-04-30,1,2956,0.05
Jan 2020,SSD,11703111,Unity,Leer,first projection,2020-02-01,2020-04-30,2,23648,0.4
Jan 2020,SSD,11703111,Unity,Leer,first projection,2020-02-01,2020-04-30,3,29560,0.5
Jan 2020,SSD,11703111,Unity,Leer,first projection,2020-02-01,2020-04-30,4,2956,0.05
Jan 2020,SSD,11703111,Unity,Leer,first projection,2020-02-01,2020-04-30,5,0,0
Jan 2020,SSD,11703111,Unity,Leer,second projection,2020-05-01,2020-07-31,all,59120,1.0
Jan 2020,SSD,11703111,Unity,Leer,second projection,2020-05-01,2020-07-31,3+,35472,0.6
Jan 2020,SSD,11703111,Unity,Leer,second projection,2020-05-01,2020-07-31,1,2956,0.05
Jan 2020,SSD,11703111,Unity,Leer,second projection,2020-05-01,2020-07-31,2,20692,0.35
Jan 2020,SSD,11703111,Unity,Leer,second projection,2020-05-01,2020-07-31,3,29560,0.5
Jan 2020,SSD,11703111,Unity,Leer,second projection,2020-05-01,2020-07-31,4,5912,0.1
Jan 2020,SSD,11703111,Unity,Leer,second projection,2020-05-01,2020-07-31,5,0,0
Jan 2020,SSD,11703111,Unity,Koch,current,2020-01-01,2020-01-31,all,105543,1.0
Jan 2020,SSD,11703111,Unity,Koch,current,2020-01-01,2020-01-31,3+,63325,0.6
Jan 2020,SSD,11703111,Unity,Koch,current,2020-01-01,2020-01-31,1,10554,0.1
Jan 2020,SSD,11703111,Unity,Koch,current,2020-01-01,2020-01-31,2,31663,0.3
Jan 2020,SSD,11703111,Unity,Koch,current,2020-01-01,2020-01-31,3,47494,0.45
Jan 2020,SSD,11703111,Unity,Koch,current,2020-01-01,2020-01-31,4,15831,0.15
Jan 2020,SSD,11703111,Unity,Koch,current,2020-01-01,2020-01-31,5,0,0
Jan 2020,SSD,11703111,Unity,Koch,first projection,2020-02-01,2020-04-30,all,105543,1.0
Jan 2020,SSD,11703111,Unity,Koch,first projection,2020-02-01,2020-04-30,3+,68603,0.65
Jan 2020,SSD,11703111,Unity,Koch,first projection,2020-02-01,2020-04-30,1,10554,0.1
Jan 2020,SSD,11703111,Unity,Koch,first projection,2020-02-01,2020-04-30,2,26386,0.25
Jan 2020,SSD,11703111,Unity,Koch,first projection,2020-02-01,2020-04-30,3,52772,0.5
Jan 2020,SSD,11703111,Unity,Koch,first projection,2020-02-01,2020-04-30,4,15831,0.15
Jan 2020,SSD,11703111,Unity,Koch,first projection,2020-02-01,2020-04-30,5,0,0
Jan 2020,SSD,11703111,Unity,Koch,second projection,2020-05-01,2020-07-31,all,105543,1.0
Jan 2020,SSD,11703111,Unity,Koch,second projection,2020-05-01,2020-07-31,3+,73881,0.7
Jan 2020,SSD,11703111,Unity,Koch,second projection,2020-05-01,2020-07-31,1,10554,0.1
Jan 2020,SSD,11703111,Unity,Koch,second projection,2020-05-01,2020-07-31,2,21109,0.2
Jan 2020,SSD,11703111,Unity,Koch,second projection,2020-05-01,2020-07-31,3,52772,0.5
Jan 2020,SSD,11703111,Unity,Koch,second projection,2020-05-01,2020-07-31,4,21109,0.2
Jan 2020,SSD,11703111,Unity,Koch,second projection,2020-05-01,2020-07-31,5,0,0
Jan 2020,SSD,11703111,Lakes,Cueibet,current,2020-01-01,2020-01-31,all,173715,1.0
Jan 2020,SSD,11703111,Lakes,Cueibet,current,2020-01-01,2020-01-31,3+,104230,0.6
Jan 2020,SSD,11703111,Lakes,Cueibet,current,2020-01-01,2020-01-31,1,8686,0.05
Jan 2020,SSD,11703111,Lakes,Cueibet,current,2020-01-01,2020-01-31,2,60800,0.35
Jan 2020,SSD,11703111,Lakes,Cueibet,current,2020-01-01,2020-01-31,3,86858,0.5
Jan 2020,SSD,11703111,Lakes,Cueibet,current,2020-01-01,2020-01-31,4,17372,0.1
Jan 2020,SSD,11703111,Lakes,Cueibet,current,2020-01-01,2020-01-31,5,0,0
Jan 2020,SSD,11703111,Lakes,Cueibet,first projection,2020-02-01,2020-04-30,all,173715,1.0
Jan 2020,SSD,11703111,Lakes,Cueibet,first projection,2020-02-01,2020-04-30,3+,121600,0.7
Jan 2020,SSD,11703111,Lakes,Cueibet,first projection,2020-02-01,2020-04-30,1,8686,0.05
Jan 2020,SSD,11703111,Lakes,Cueibet,first projection,2020-02-01,2020-04-30,2,43429,0.25
Jan 2020,SSD,11703111,Lakes,Cueibet,first projection,2020-02-01,2020-04-30,3,95543,0.55
Jan 2020,SSD,11703111,Lakes,Cueibet,first projection,2020-02-01,2020-04-30,4,26057,0.15
Jan 2020,SSD,11703111,Lakes,Cueibet,first projection,2020-02-01,2020-04-30,5,0,0
Jan 2020,SSD,11703111,Lakes,Cueibet,second projection,2020-05-01,2020-07-31,all,173715,1.0
Jan 2020,SSD,11703111,Lakes,Cueibet,second projection,2020-05-01,2020-07-31,3+,130286,0.75
Jan 2020,SSD,11703111,Lakes,Cueibet,second projection,2020-05-01,2020-07-31,1,8686,0.05
Jan 2020,SSD,11703111,Lakes,Cueibet,second projection,2020-05-01,2020-07-31,2,34743,0.2
Jan 2020,SSD,11703111,Lakes,Cueibet,second projection,2020-05-01,2020-07-31,3,104229,0.6
Jan 2020,SSD,11703111,Lakes,Cueibet,second projection,2020-05-01,2020-07-31,4,26057,0.15
Jan 2020,SSD,11703111,Lakes,Cueibet,second projection,2020-05-01,2020-07-31,5,0,0
Jan 2020,SSD,11703111,Lakes,Rumbek east,current,2020-01-01,2020-01-31,all,167548,1.0
Jan 2020,SSD,11703111,Lakes,Rumbek east,current,2020-01-01,2020-01-31,3+,100529,0.6
Jan 2020,SSD,11703111,Lakes,Rumbek east,current,2020-01-01,2020-01-31,1,25132,0.15
Jan 2020,SSD,11703111,Lakes,Rumbek east,current,2020-01-01,2020-01-31,2,41887,0.25
Jan 2020,SSD,11703111,Lakes,Rumbek east,current,2020-01-01,2020-01-31,3,75397,0.45
Jan 2020,SSD,11703111,Lakes,Rumbek east,current,2020-01-01,2020-01-31,4,25132,0.15
Jan 2020,SSD,11703111,Lakes,Rumbek east,current,2020-01-01,2020-01-31,5,0,0
Jan 2020,SSD,11703111,Lakes,Rumbek east,first projection,2020-02-01,2020-04-30,all,167548,1.0
Jan 2020,SSD,11703111,Lakes,Rumbek east,first projection,2020-02-01,2020-04-30,3+,108906,0.65
Jan 2020,SSD,11703111,Lakes,Rumbek east,first projection,2020-02-01,2020-04-30,1,16755,0.1
Jan 2020,SSD,11703111,Lakes,Rumbek east,first projection,2020-02-01,2020-04-30,2,41887,0.25
Jan 2020,SSD,11703111,Lakes,Rumbek east,first projection,2020-02-01,2020-04-30,3,83774,0.5
Jan 2020,SSD,11703111,Lakes,Rumbek east,first projection,2020-02-01,2020-04-30,4,25132,0.15
Jan 2020,SSD,11703111,Lakes,Rumbek east,first projection,2020-02-01,2020-04-30,5,0,0
Jan 2020,SSD,11703111,Lakes,Rumbek east,second projection,2020-05-01,2020-07-31,all,167548,1.0
Jan 2020,SSD,11703111,Lakes,Rumbek east,second projection,2020-05-01,2020-07-31,3+,117284,0.7
Jan 2020,SSD,11703111,Lakes,Rumbek east,second projection,2020-05-01,2020-07-31,1,16755,0.1
Jan 2020,SSD,11703111,Lakes,Rumbek east,second projection,2020-05-01,2020-07-31,2,33510,0.2
Jan 2020,SSD,11703111,Lakes,Rumbek east,second projection,2020-05-01,2020-07-31,3,83774,0.5
Jan 2020,SSD,11703111,Lakes,Rumbek east,second projection,2020-05-01,2020-07-31,4,33510,0.2
Jan 2020,SSD,11703111,Lakes,Rumbek east,second projection,2020-05-01,2020-07-31,5,0,0
Jan 2020,SSD,11703111,Lakes,Wulu,current,2020-01-01,2020-01-31,all,82446,1.0
Jan 2020,SSD,11703111,Lakes,Wulu,current,2020-01-01,2020-01-31,3+,8245,0.1
Jan 2020,SSD,11703111,Lakes,Wulu,current,2020-01-01,2020-01-31,1,28856,0.35
Jan 2020,SSD,11703111,Lakes,Wulu,current,2020-01-01,2020-01-31,2,45345,0.55
Jan 2020,SSD,11703111,Lakes,Wulu,current,2020-01-01,2020-01-31,3,8245,0.1
Jan 2020,SSD,11703111,Lakes,Wulu,current,2020-01-01,2020-01-31,4,0,0
Jan 2020,SSD,11703111,Lakes,Wulu,current,2020-01-01,2020-01-31,5,0,0
Jan 2020,SSD,11703111,Lakes,Wulu,first projection,2020-02-01,2020-04-30,all,82446,1.0
Jan 2020,SSD,11703111,Lakes,Wulu,first projection,2020-02-01,2020-04-30,3+,12367,0.15
Jan 2020,SSD,11703111,Lakes,Wulu,first projection,2020-02-01,2020-04-30,1,28856,0.35
Jan 2020,SSD,11703111,Lakes,Wulu,first projection,2020-02-01,2020-04-30,2,41223,0.5
Jan 2020,SSD,11703111,Lakes,Wulu,first projection,2020-02-01,2020-04-30,3,12367,0.15
Jan 2020,SSD,11703111,Lakes,Wulu,first projection,2020-02-01,2020-04-30,4,0,0
Jan 2020,SSD,11703111,Lakes,Wulu,first projection,2020-02-01,2020-04-30,5,0,0
Jan 2020,SSD,11703111,Lakes,Wulu,second projection,2020-05-01,2020-07-31,all,82446,1.0
Jan 2020,SSD,11703111,Lakes,Wulu,second projection,2020-05-01,2020-07-31,3+,16489,0.2
Jan 2020,SSD,11703111,Lakes,Wulu,second projection,2020-05-01,2020-07-31,1,24734,0.3
Jan 2020,SSD,11703111,Lakes,Wulu,second projection,2020-05-01,2020-07-31,2,41223,0.5
Jan 2020,SSD,11703111,Lakes,Wulu,second projection,2020-05-01,2020-07-31,3,12367,0.15
Jan 2020,SSD,11703111,Lakes,Wulu,second projection,2020-05-01,2020-07-31,4,4122,0.05
Jan 2020,SSD,11703111,Lakes,Wulu,second projection,2020-05-01,2020-07-31,5,0,0
Jan 2020,SSD,11703111,Lakes,Yirol east,current,2020-01-01,2020-01-31,all,150222,1.0
Jan 2020,SSD,11703111,Lakes,Yirol east,current,2020-01-01,2020-01-31,3+,90133,0.6
Jan 2020,SSD,11703111,Lakes,Yirol east,current,2020-01-01,2020-01-31,1,15022,0.1
Jan 2020,SSD,11703111,Lakes,Yirol east,current,2020-01-01,2020-01-31,2,45067,0.3
Jan 2020,SSD,11703111,Lakes,Yirol east,current,2020-01-01,2020-01-31,3,75111,0.5
Jan 2020,SSD,11703111,Lakes,Yirol east,current,2020-01-01,2020-01-31,4,15022,0.1
Jan 2020,SSD,11703111,Lakes,Yirol east,current,2020-01-01,2020-01-31,5,0,0
Jan 2020,SSD,11703111,Lakes,Yirol east,first projection,2020-02-01,2020-04-30,all,150222,1.0
Jan 2020,SSD,11703111,Lakes,Yirol east,first projection,2020-02-01,2020-04-30,3+,97644,0.65
Jan 2020,SSD,11703111,Lakes,Yirol east,first projection,2020-02-01,2020-04-30,1,15022,0.1
Jan 2020,SSD,11703111,Lakes,Yirol east,first projection,2020-02-01,2020-04-30,2,37556,0.25
Jan 2020,SSD,11703111,Lakes,Yirol east,first projection,2020-02-01,2020-04-30,3,67600,0.45
Jan 2020,SSD,11703111,Lakes,Yirol east,first projection,2020-02-01,2020-04-30,4,30044,0.2
Jan 2020,SSD,11703111,Lakes,Yirol east,first projection,2020-02-01,2020-04-30,5,0,0
Jan 2020,SSD,11703111,Lakes,Yirol east,second projection,2020-05-01,2020-07-31,all,150222,1.0
Jan 2020,SSD,11703111,Lakes,Yirol east,second projection,2020-05-01,2020-07-31,3+,112667,0.75
Jan 2020,SSD,11703111,Lakes,Yirol east,second projection,2020-05-01,2020-07-31,1,7511,0.05
Jan 2020,SSD,11703111,Lakes,Yirol east,second projection,2020-05-01,2020-07-31,2,30044,0.2
Jan 2020,SSD,11703111,Lakes,Yirol east,second projection,2020-05-01,2020-07-31,3,75111,0.5
Jan 2020,SSD,11703111,Lakes,Yirol east,second projection,2020-05-01,2020-07-31,4,37556,0.25
Jan 2020,SSD,11703111,Lakes,Yirol east,second projection,2020-05-01,2020-07-31,5,0,0
Jan 2020,SSD,11703111,Lakes,Yirol west,current,2020-01-01,2020-01-31,all,157655,1.0
Jan 2020,SSD,11703111,Lakes,Yirol west,current,2020-01-01,2020-01-31,3+,63062,0.4
Jan 2020,SSD,11703111,Lakes,Yirol west,current,2020-01-01,2020-01-31,1,31531,0.2
Jan 2020,SSD,11703111,Lakes,Yirol west,current,2020-01-01,2020-01-31,2,63062,0.4
Jan 2020,SSD,11703111,Lakes,Yirol west,current,2020-01-01,2020-01-31,3,55179,0.35
Jan 2020,SSD,11703111,Lakes,Yirol west,current,2020-01-01,2020-01-31,4,7883,0.05
Jan 2020,SSD,11703111,Lakes,Yirol west,current,2020-01-01,2020-01-31,5,0,0
Jan 2020,SSD,11703111,Lakes,Yirol west,first projection,2020-02-01,2020-04-30,all,157655,1.0
Jan 2020,SSD,11703111,Lakes,Yirol west,first projection,2020-02-01,2020-04-30,3+,70945,0.45
Jan 2020,SSD,11703111,Lakes,Yirol west,first projection,2020-02-01,2020-04-30,1,23648,0.15
Jan 2020,SSD,11703111,Lakes,Yirol west,first projection,2020-02-01,2020-04-30,2,63062,0.4
Jan 2020,SSD,11703111,Lakes,Yirol west,first projection,2020-02-01,2020-04-30,3,55179,0.35
Jan 2020,SSD,11703111,Lakes,Yirol west,first projection,2020-02-01,2020-04-30,4,15766,0.1
Jan 2020,SSD,11703111,Lakes,Yirol west,first projection,2020-02-01,2020-04-30,5,0,0
Jan 2020,SSD,11703111,Lakes,Yirol west,second projection,2020-05-01,2020-07-31,all,157655,1.0
Jan 2020,SSD,11703111,Lakes,Yirol west,second projection,2020-05-01,2020-07-31,3+,94594,0.6
Jan 2020,SSD,11703111,Lakes,Yirol west,second projection,2020-05-01,2020-07-31,1,23648,0.15
Jan 2020,SSD,11703111,Lakes,Yirol west,second projection,2020-05-01,2020-07-31,2,39414,0.25
Jan 2020,SSD,11703111,Lakes,Yirol west,second projection,2020-05-01,2020-07-31,3,78828,0.5
Jan 2020,SSD,11703111,Lakes,Yirol west,second projection,2020-05-01,2020-07-31,4,15766,0.1
Jan 2020,SSD,11703111,Lakes,Yirol west,second projection,2020-05-01,2020-07-31,5,0,0
Jan 2020,SSD,11703111,Lakes,Awerial,current,2020-01-01,2020-01-31,all,132875,1.0
Jan 2020,SSD,11703111,Lakes,Awerial,current,2020-01-01,2020-01-31,3+,73082,0.55
Jan 2020,SSD,11703111,Lakes,Awerial,current,2020-01-01,2020-01-31,1,19931,0.15
Jan 2020,SSD,11703111,Lakes,Awerial,current,2020-01-01,2020-01-31,2,39863,0.3
Jan 2020,SSD,11703111,Lakes,Awerial,current,2020-01-01,2020-01-31,3,59794,0.45
Jan 2020,SSD,11703111,Lakes,Awerial,current,2020-01-01,2020-01-31,4,13288,0.1
Jan 2020,SSD,11703111,Lakes,Awerial,current,2020-01-01,2020-01-31,5,0,0
Jan 2020,SSD,11703111,Lakes,Awerial,first projection,2020-02-01,2020-04-30,all,132875,1.0
Jan 2020,SSD,11703111,Lakes,Awerial,first projection,2020-02-01,2020-04-30,3+,79725,0.6
Jan 2020,SSD,11703111,Lakes,Awerial,first projection,2020-02-01,2020-04-30,1,13288,0.1
Jan 2020,SSD,11703111,Lakes,Awerial,first projection,2020-02-01,2020-04-30,2,39863,0.3
Jan 2020,SSD,11703111,Lakes,Awerial,first projection,2020-02-01,2020-04-30,3,59794,0.45
Jan 2020,SSD,11703111,Lakes,Awerial,first projection,2020-02-01,2020-04-30,4,19931,0.15
Jan 2020,SSD,11703111,Lakes,Awerial,first projection,2020-02-01,2020-04-30,5,0,0
Jan 2020,SSD,11703111,Lakes,Awerial,second projection,2020-05-01,2020-07-31,all,132875,1.0
Jan 2020,SSD,11703111,Lakes,Awerial,second projection,2020-05-01,2020-07-31,3+,86369,0.65
Jan 2020,SSD,11703111,Lakes,Awerial,second projection,2020-05-01,2020-07-31,1,13288,0.1
Jan 2020,SSD,11703111,Lakes,Awerial,second projection,2020-05-01,2020-07-31,2,33219,0.25
Jan 2020,SSD,11703111,Lakes,Awerial,second projection,2020-05-01,2020-07-31,3,59794,0.45
Jan 2020,SSD,11703111,Lakes,Awerial,second projection,2020-05-01,2020-07-31,4,26575,0.2
Jan 2020,SSD,11703111,Lakes,Awerial,second projection,2020-05-01,2020-07-31,5,0,0
Jan 2020,SSD,11703111,Lakes,Rumbek north,current,2020-01-01,2020-01-31,all,70174,1.0
Jan 2020,SSD,11703111,Lakes,Rumbek north,current,2020-01-01,2020-01-31,3+,49122,0.7
Jan 2020,SSD,11703111,Lakes,Rumbek north,current,2020-01-01,2020-01-31,1,7017,0.1
Jan 2020,SSD,11703111,Lakes,Rumbek north,current,2020-01-01,2020-01-31,2,14035,0.2
Jan 2020,SSD,11703111,Lakes,Rumbek north,current,2020-01-01,2020-01-31,3,31578,0.45
Jan 2020,SSD,11703111,Lakes,Rumbek north,current,2020-01-01,2020-01-31,4,17544,0.25
Jan 2020,SSD,11703111,Lakes,Rumbek north,current,2020-01-01,2020-01-31,5,0,0
Jan 2020,SSD,11703111,Lakes,Rumbek north,first projection,2020-02-01,2020-04-30,all,70174,1.0
Jan 2020,SSD,11703111,Lakes,Rumbek north,first projection,2020-02-01,2020-04-30,3+,52630,0.75
Jan 2020,SSD,11703111,Lakes,Rumbek north,first projection,2020-02-01,2020-04-30,1,3509,0.05
Jan 2020,SSD,11703111,Lakes,Rumbek north,first projection,2020-02-01,2020-04-30,2,14035,0.2
Jan 2020,SSD,11703111,Lakes,Rumbek north,first projection,2020-02-01,2020-04-30,3,31578,0.45
Jan 2020,SSD,11703111,Lakes,Rumbek north,first projection,2020-02-01,2020-04-30,4,21052,0.3
Jan 2020,SSD,11703111,Lakes,Rumbek north,first projection,2020-02-01,2020-04-30,5,0,0
Jan 2020,SSD,11703111,Lakes,Rumbek north,second projection,2020-05-01,2020-07-31,all,70174,1.0
Jan 2020,SSD,11703111,Lakes,Rumbek north,second projection,2020-05-01,2020-07-31,3+,52631,0.75
Jan 2020,SSD,11703111,Lakes,Rumbek north,second projection,2020-05-01,2020-07-31,1,3509,0.05
Jan 2020,SSD,11703111,Lakes,Rumbek north,second projection,2020-05-01,2020-07-31,2,14035,0.2
Jan 2020,SSD,11703111,Lakes,Rumbek north,second projection,2020-05-01,2020-07-31,3,28070,0.4
Jan 2020,SSD,11703111,Lakes,Rumbek north,second projection,2020-05-01,2020-07-31,4,24561,0.35
Jan 2020,SSD,11703111,Lakes,Rumbek north,second projection,2020-05-01,2020-07-31,5,0,0
Jan 2020,SSD,11703111,Lakes,Rumbek centre,current,2020-01-01,2020-01-31,all,203118,1.0
Jan 2020,SSD,11703111,Lakes,Rumbek centre,current,2020-01-01,2020-01-31,3+,101559,0.5
Jan 2020,SSD,11703111,Lakes,Rumbek centre,current,2020-01-01,2020-01-31,1,30468,0.15
Jan 2020,SSD,11703111,Lakes,Rumbek centre,current,2020-01-01,2020-01-31,2,71091,0.35
Jan 2020,SSD,11703111,Lakes,Rumbek centre,current,2020-01-01,2020-01-31,3,81247,0.4
Jan 2020,SSD,11703111,Lakes,Rumbek centre,current,2020-01-01,2020-01-31,4,20312,0.1
Jan 2020,SSD,11703111,Lakes,Rumbek centre,current,2020-01-01,2020-01-31,5,0,0
Jan 2020,SSD,11703111,Lakes,Rumbek centre,first projection,2020-02-01,2020-04-30,all,203118,1.0
Jan 2020,SSD,11703111,Lakes,Rumbek centre,first projection,2020-02-01,2020-04-30,3+,111715,0.55
Jan 2020,SSD,11703111,Lakes,Rumbek centre,first projection,2020-02-01,2020-04-30,1,30468,0.15
Jan 2020,SSD,11703111,Lakes,Rumbek centre,first projection,2020-02-01,2020-04-30,2,60935,0.3
Jan 2020,SSD,11703111,Lakes,Rumbek centre,first projection,2020-02-01,2020-04-30,3,91403,0.45
Jan 2020,SSD,11703111,Lakes,Rumbek centre,first projection,2020-02-01,2020-04-30,4,20312,0.1
Jan 2020,SSD,11703111,Lakes,Rumbek centre,first projection,2020-02-01,2020-04-30,5,0,0
Jan 2020,SSD,11703111,Lakes,Rumbek centre,second projection,2020-05-01,2020-07-31,all,203118,1.0
Jan 2020,SSD,11703111,Lakes,Rumbek centre,second projection,2020-05-01,2020-07-31,3+,121871,0.6
Jan 2020,SSD,11703111,Lakes,Rumbek centre,second projection,2020-05-01,2020-07-31,1,20312,0.1
Jan 2020,SSD,11703111,Lakes,Rumbek centre,second projection,2020-05-01,2020-07-31,2,60935,0.3
Jan 2020,SSD,11703111,Lakes,Rumbek centre,second projection,2020-05-01,2020-07-31,3,91403,0.45
Jan 2020,SSD,11703111,Lakes,Rumbek centre,second projection,2020-05-01,2020-07-31,4,30468,0.15
Jan 2020,SSD,11703111,Lakes,Rumbek centre,second projection,2020-05-01,2020-07-31,5,0,0
Jan 2020,SSD,11703111,Western Equatoria,Maridi,current,2020-01-01,2020-01-31,all,92205,1.0
Jan 2020,SSD,11703111,Western Equatoria,Maridi,current,2020-01-01,2020-01-31,3+,0,0
Jan 2020,SSD,11703111,Western Equatoria,Maridi,current,2020-01-01,2020-01-31,1,59933,0.65
Jan 2020,SSD,11703111,Western Equatoria,Maridi,current,2020-01-01,2020-01-31,2,32272,0.35
Jan 2020,SSD,11703111,Western Equatoria,Maridi,current,2020-01-01,2020-01-31,3,0,0
Jan 2020,SSD,11703111,Western Equatoria,Maridi,current,2020-01-01,2020-01-31,4,0,0
Jan 2020,SSD,11703111,Western Equatoria,Maridi,current,2020-01-01,2020-01-31,5,0,0
Jan 2020,SSD,11703111,Western Equatoria,Maridi,first projection,2020-02-01,2020-04-30,all,92205,1.0
Jan 2020,SSD,11703111,Western Equatoria,Maridi,first projection,2020-02-01,2020-04-30,3+,4610,0.05
Jan 2020,SSD,11703111,Western Equatoria,Maridi,first projection,2020-02-01,2020-04-30,1,55323,0.6
Jan 2020,SSD,11703111,Western Equatoria,Maridi,first projection,2020-02-01,2020-04-30,2,32272,0.35
Jan 2020,SSD,11703111,Western Equatoria,Maridi,first projection,2020-02-01,2020-04-30,3,4610,0.05
Jan 2020,SSD,11703111,Western Equatoria,Maridi,first projection,2020-02-01,2020-04-30,4,0,0
Jan 2020,SSD,11703111,Western Equatoria,Maridi,first projection,2020-02-01,2020-04-30,5,0,0
Jan 2020,SSD,11703111,Western Equatoria,Maridi,second projection,2020-05-01,2020-07-31,all,92205,1.0
Jan 2020,SSD,11703111,Western Equatoria,Maridi,second projection,2020-05-01,2020-07-31,3+,0,0
Jan 2020,SSD,11703111,Western Equatoria,Maridi,second projection,2020-05-01,2020-07-31,1,55323,0.6
Jan 2020,SSD,11703111,Western Equatoria,Maridi,second projection,2020-05-01,2020-07-31,2,36882,0.4
Jan 2020,SSD,11703111,Western Equatoria,Maridi,second projection,2020-05-01,2020-07-31,3,0,0
Jan 2020,SSD,11703111,Western Equatoria,Maridi,second projection,2020-05-01,2020-07-31,4,0,0
Jan 2020,SSD,11703111,Western Equatoria,Maridi,second projection,2020-05-01,2020-07-31,5,0,0
Jan 2020,SSD,11703111,Western Equatoria,Ibba,current,2020-01-01,2020-01-31,all,62878,1.0
Jan 2020,SSD,11703111,Western Equatoria,Ibba,current,2020-01-01,2020-01-31,3+,9432,0.15
Jan 2020,SSD,11703111,Western Equatoria,Ibba,current,2020-01-01,2020-01-31,1,22007,0.35
Jan 2020,SSD,11703111,Western Equatoria,Ibba,current,2020-01-01,2020-01-31,2,31439,0.5
Jan 2020,SSD,11703111,Western Equatoria,Ibba,current,2020-01-01,2020-01-31,3,9432,0.15
Jan 2020,SSD,11703111,Western Equatoria,Ibba,current,2020-01-01,2020-01-31,4,0,0
Jan 2020,SSD,11703111,Western Equatoria,Ibba,current,2020-01-01,2020-01-31,5,0,0
Jan 2020,SSD,11703111,Western Equatoria,Ibba,first projection,2020-02-01,2020-04-30,all,62878,1.0
