Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Mar 2026,SSD,14203031,Jonglei,Duk,first projection,2026-04-01,2026-07-31,all,211856,1.0
Mar 2026,SSD,14203031,Jonglei,Duk,first projection,2026-04-01,2026-07-31,3+,148299,0.7
Mar 2026,SSD,14203031,Jonglei,Duk,first projection,2026-04-01,2026-07-31,1,21186,0.1
Mar 2026,SSD,14203031,Jonglei,Duk,first projection,2026-04-01,2026-07-31,2,42371,0.2
Mar 2026,SSD,14203031,Jonglei,Duk,first projection,2026-04-01,2026-07-31,3,84742,0.4
Mar 2026,SSD,14203031,Jonglei,Duk,first projection,2026-04-01,2026-07-31,4,63557,0.3
Mar 2026,SSD,14203031,Jonglei,Duk,first projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Jonglei,Duk,second projection,2026-04-01,2026-07-31,all,211856,1.0
Mar 2026,SSD,14203031,Jonglei,Duk,second projection,2026-04-01,2026-07-31,3+,148299,0.7
Mar 2026,SSD,14203031,Jonglei,Duk,second projection,2026-04-01,2026-07-31,1,21186,0.1
Mar 2026,SSD,14203031,Jonglei,Duk,second projection,2026-04-01,2026-07-31,2,42371,0.2
Mar 2026,SSD,14203031,Jonglei,Duk,second projection,2026-04-01,2026-07-31,3,84742,0.4
Mar 2026,SSD,14203031,Jonglei,Duk,second projection,2026-04-01,2026-07-31,4,63557,0.3
Mar 2026,SSD,14203031,Jonglei,Duk,second projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Jonglei,Fangak,first projection,2026-04-01,2026-07-31,all,227445,1.0
Mar 2026,SSD,14203031,Jonglei,Fangak,first projection,2026-04-01,2026-07-31,3+,193328,0.85
Mar 2026,SSD,14203031,Jonglei,Fangak,first projection,2026-04-01,2026-07-31,1,11372,0.05
Mar 2026,SSD,14203031,Jonglei,Fangak,first projection,2026-04-01,2026-07-31,2,22745,0.1
Mar 2026,SSD,14203031,Jonglei,Fangak,first projection,2026-04-01,2026-07-31,3,79606,0.35
Mar 2026,SSD,14203031,Jonglei,Fangak,first projection,2026-04-01,2026-07-31,4,102350,0.45
Mar 2026,SSD,14203031,Jonglei,Fangak,first projection,2026-04-01,2026-07-31,5,11372,0.05
Mar 2026,SSD,14203031,Jonglei,Fangak,second projection,2026-04-01,2026-07-31,all,227445,1.0
Mar 2026,SSD,14203031,Jonglei,Fangak,second projection,2026-04-01,2026-07-31,3+,193328,0.85
Mar 2026,SSD,14203031,Jonglei,Fangak,second projection,2026-04-01,2026-07-31,1,11372,0.05
Mar 2026,SSD,14203031,Jonglei,Fangak,second projection,2026-04-01,2026-07-31,2,22745,0.1
Mar 2026,SSD,14203031,Jonglei,Fangak,second projection,2026-04-01,2026-07-31,3,79606,0.35
Mar 2026,SSD,14203031,Jonglei,Fangak,second projection,2026-04-01,2026-07-31,4,102350,0.45
Mar 2026,SSD,14203031,Jonglei,Fangak,second projection,2026-04-01,2026-07-31,5,11372,0.05
Mar 2026,SSD,14203031,Jonglei,Akobo,first projection,2026-04-01,2026-07-31,all,244749,1.0
Mar 2026,SSD,14203031,Jonglei,Akobo,first projection,2026-04-01,2026-07-31,3+,195799,0.8
Mar 2026,SSD,14203031,Jonglei,Akobo,first projection,2026-04-01,2026-07-31,1,12237,0.05
Mar 2026,SSD,14203031,Jonglei,Akobo,first projection,2026-04-01,2026-07-31,2,36712,0.15
Mar 2026,SSD,14203031,Jonglei,Akobo,first projection,2026-04-01,2026-07-31,3,97900,0.4
